name,website,email,phone,location_link,raw_text
Gautam M. And Associates,,,984-9940340,https://maps.app.goo.gl/F4LQ5esjYxRjjGPQ7,"Gautam M. And Associates
5.0
Chartered accountant · Chowk Rastra Bank Rd
Open · Closes 5 PM · 984-99"
Expert Accounting & VaTax Centre Pvt. Ltd,,,986-7663185,https://maps.app.goo.gl/V7m2Syd9Kia9JmdT6,"Expert Accounting & VaTax Centre Pvt. Ltd
5.0
Accounting firm · 6X4F+M99
986-7663185

Directions"
P & P Consultancy,,,984-6772419,https://maps.app.goo.gl/Tv7wFUaGgikmtZTx6,"P & P Consultancy
No reviews
Accounting firm · Milan chowk
984-6772419

Directions"
"Sarbesh & Associates, Chartered Accountants",,,984-3496806,https://maps.app.goo.gl/JfnKjuvAoU8KtJwL7,"Sarbesh & Associates, Chartered Accountants
5.0
Accounting firm · Way to Ratna Chowk, Sugam Marga
Op"
"L. ADHIKARI & ASSOCIATES,CHARTERED ACCOUNTANTS",http://l.adhikari.com.np/,,985-6036906,https://maps.app.goo.gl/uaLQTSYYswWNu2xj9,"L. ADHIKARI & ASSOCIATES,CHARTERED ACCOUNTANTS
5.0
Auditor · m below Janapriya School and Opposite o"
Saathi Management Services Pvt.Ltd,,,984-6119165,https://maps.app.goo.gl/MnFaYysHSXWezhEi8,"Saathi Management Services Pvt.Ltd
5.0
Business management consultant · 6X2C+7F7, Rastra Bank Rd
Ope"
"A. Lamichhane & Associates, Chartered Accountants, CA",https://www.facebook.com/alamichhane.ca/,info.alamichhane@gmail.com,061-581901,https://maps.app.goo.gl/WGdxub4TQTsXUrjx8,"A. Lamichhane & Associates, Chartered Accountants, CA
4.8
Chartered accountant · Ganeshman Sinha Maa"
GAAP Business Consultancy Services Pvt. Ltd.,,,986-0738604,https://maps.app.goo.gl/4g5vgU5t75qkyvvi8,"GAAP Business Consultancy Services Pvt. Ltd.
No reviews
Accounting firm · 6X4F+QC7
Open · Closes 6 P"
Supa accounting and business solution pvt ltd,,,061-590707,https://maps.app.goo.gl/Y6atEutTrp6GqYvz5,"Supa accounting and business solution pvt ltd
3.0
Accounting firm · 5XRM+52G, Pardi Bazaar
Open · Cl"
Business Basket Pvt Ltd.,http://www.businessbasket.com.np/,info@businessbasket.com.np,985-6081265,https://maps.app.goo.gl/ncpyE9t6eEeWpHhq7,"Business Basket Pvt Ltd.
4.6
Accounting firm ·  · srijanachowk-08, Pokhara (In opposite to Metrocit"
Supa Accounting Business Solution Pvt. Ltd.,,,,https://maps.app.goo.gl/CBQBNtuygd95JUbw5,"Supa Accounting Business Solution Pvt. Ltd.
No reviews
Accounting firm · Way to Ratna Chowk, Sugam M"
Sanjay Karki & Associates,http://auditorinpokhara.com.np/,,985-6085252,https://maps.app.goo.gl/BsRtgsiAtkbPApGv6,"Sanjay Karki & Associates
5.0
Auditor · Prithvi Chok
Open · Closes 5 PM · 985-6085252

Website

Di"
S.S. Business Solutions Pvt.Ltd.,,,061-524418,https://maps.app.goo.gl/k5hwr1AWmepzhz17A,"S.S. Business Solutions Pvt.Ltd.
5.0
Tax preparation service · 6X4F+QC7
Open now · 061-524418

Dire"
Barahi Accounting and Business Solution Pvt.Ltd,,,061-590985,https://maps.app.goo.gl/gjXaB4mLiY2gxg9n8,"Barahi Accounting and Business Solution Pvt.Ltd
5.0
Business development service
Open · Closes 6 PM "
A Lamsal & associates,,,985-6085353,https://maps.app.goo.gl/zBcrb6dfDPBhz69i9,"A Lamsal & associates
5.0
Auditor · Prithvichowk
Open · Closes 5:30 PM · 985-6085353

Directions"
Katila & Company,,,061-525860,https://maps.app.goo.gl/s31ysTmPbcwPHKD39,"Katila & Company
5.0
Accounting firm · Tersapatti Rd
Open · Closes 5 PM · 061-525860

Directions"
Karma Sewa Online Services,,,985-6081915,https://maps.app.goo.gl/h8u7Z3ETNkUYEFDWA,"Karma Sewa Online Services
No reviews
Accounting firm · Milan chowk Marga Next to Provincial Governm"
Account World Pvt. Ltd,,,985-6010326,https://maps.app.goo.gl/8tz8R2akau9AWD4c7,"Account World Pvt. Ltd
No reviews
Accounting firm · New Rd
Open · Closes 6 PM · 985-6010326

Direct"
P.A.L.S. Consultancy,,,986-9764444,https://maps.app.goo.gl/U1qYVPQMt9K9fUHZ7,"P.A.L.S. Consultancy
5.0
Accounting firm · 41.1, Dharmasthali Marg, Parsyang
Open · Closes 5 PM · 98"
"CA Prism Center of Learning College, Pokhara , Nepal",https://www.facebook.com/prismcenteroflearning/,srb.amit@gmail.com,061-587649,https://maps.app.goo.gl/EY6ddSh7RQ42NtLS7,"CA Prism Center of Learning College, Pokhara , Nepal
4.7
Chartered accountant ·  · New Rd
Open · Cl"
"N.Khanal & Associates, Chartered Accountants",,,986-9008073,https://maps.app.goo.gl/mHA66Dsznpp1vSVE6,"N.Khanal & Associates, Chartered Accountants
5.0
Auditor
Open · Closes 5 PM · 986-9008073

Directio"
"Adarsha & Associates, Chartered Accountants",,,061-523784,https://maps.app.goo.gl/erXgYEDC5NxTBYHV6,"Adarsha & Associates, Chartered Accountants
5.0
Auditor · New Rd
Open · Closes 5:30 PM · 061-523784
"
Precise Tax and Business Solution,https://precise.my.canva.site/,precisetax.soln@gmail.com,980-1569692,https://maps.app.goo.gl/QsV5fLP4jmKziDaF7,"Precise Tax and Business Solution
4.3
Tax consultant · 6X7G+Q9X
Open 24 hours · 980-1569692

Websit"
"The Institute of Chartered Accountants of Nepal, Pokhara Branch",,,061-587679,https://maps.app.goo.gl/Pr4y2xRMmGuY9nhd9,"The Institute of Chartered Accountants of Nepal, Pokhara Branch
4.9
Non-profit organization · 6X8Q+9"
P. Sandeep & Associates,,,985-1203432,https://maps.app.goo.gl/jSp79uZ8wMtiaT2T8,"P. Sandeep & Associates
No reviews
Certified public accountant · 6X6F+HHH, Sugam Marga
Open · Closes"
S.R. Baral And Company,,,985-6024611,https://maps.app.goo.gl/dczn3nwi9hfdpzZt8,"S.R. Baral And Company
5.0
Auditor · 8 New Rd
Open now · 985-6024611

Directions"
Global Institute of Professional Accountancy,,,061-540432,https://maps.app.goo.gl/achsmnujNESVzUxG9,"Global Institute of Professional Accountancy
1.0
Accounting firm · 6X7C+MVG
Open · Closes 6 PM · 061"
Help Nepal Tax consultancy,,,985-6039240,https://maps.app.goo.gl/VknL1h3jqBooEYpM8,"Help Nepal Tax consultancy
5.0
Accounting firm · 6XGQ+GQV
Open · Closes 6 AM Wed · 985-6039240

Dir"
"S.L.M. & Associates, Chartered Accountants",,,985-6084108,https://maps.app.goo.gl/C2V7NCmj6v8uoRC59,"S.L.M. & Associates, Chartered Accountants
No reviews
Accounting firm · Prem Marga
Open · Closes 6 P"
Karuna Management Services(KMS),https://www.facebook.com/Karuna-Management-Services-104739575459947/,,985-6049518,https://maps.app.goo.gl/2qU5aKjmxX1wtWtL7,"Karuna Management Services(KMS)
5.0
Accounting firm · Nayabazar Rd
Open · Closes 5 PM · 985-6049518
"
TFP CONSULTANT,,,984-4912411,https://maps.app.goo.gl/doPQA1KvKDTZiSMo7,"TFP CONSULTANT
No reviews
Accounting firm · 5 Pokhara-Baglung Hwy
Open · Closes 5 PM · 984-4912411
"
"Pokhara -10 ,Ramghat",,,986-9008073,https://maps.app.goo.gl/ctPXJn3Adaj3t4Ly9,"Pokhara -10 ,Ramghat
No reviews
Certified public accountant · 10 Prithvi Rajmarg
Open · Closes 12 AM"
Fewa Corporate Accounting & Tax Solution Pvt.Ltd..,,,985-6055843,https://maps.app.goo.gl/ZtWDu2RXUrMnMDSVA,"Fewa Corporate Accounting & Tax Solution Pvt.Ltd..
No reviews
Tax consultant · 6X6M+WFC, Sabhagriha "
"P.M. Bhandari & Associates, Chartered Accountants",,,985-6075608,https://maps.app.goo.gl/zoqV3YjQBBmvFQuR9,"P.M. Bhandari & Associates, Chartered Accountants
No reviews
Financial audit · Parsyang, Pokhara-5
O"
